1, 2077, m, 3025, f, 4172, m, 2002, f, 2077 2052 2047 2045 2005 2002 4172 2139 3025 , m2077 f2052 m2047 (m2045) f2005 f2002 (m4172) f2139 f3025 , MFFDDHDD, 2077 3025, 2002 4172, G1, 2, G-2, 0, 6, 2
265, 2496, m, 2494, f, 2176, m, 2178, f, 2496 2185 2173 2962 2176 2178 2195 2208 2494 , m2496 m2185 f2173 (f2962) m2176 f2178 (f2195) m2208 f2494 , FMMSWMSD, 2494 2496, 2176 2178, G2, 1, G-1, 1, 5, 3
266, 2503, m, 2508, f, 2176, m, 2178, f, 2503 2207 2194 2178 2176 2174 2173 2363 2508 , m2503 m2207 (m2194) f2178 m2176 (m2174) f2173 m2363 f2508 , FFDHFDSD, 2503 2508, 2176 2178, G1, 1, G-2, 1, 4, 4
267, 2503, m, 2508, f, 2176, m, 2178, f, 2503 2207 2195 2178 2176 2174 2173 2363 2508 , m2503 m2207 (f2195) f2178 m2176 (m2174) f2173 m2363 f2508 , FMDHFDSD, 2503 2508, 2176 2178, G1, 1, G-2, 1, 4, 4
268, 2503, m, 2508, f, 2176, m, 2178, f, 2503 2207 2194 2178 2176 2962 2173 2363 2508 , m2503 m2207 (m2194) f2178 m2176 (f2962) f2173 m2363 f2508 , FFDHMDSD, 2503 2508, 2176 2178, G1, 1, G-2, 1, 4, 4
269, 2503, m, 2508, f, 2176, m, 2178, f, 2503 2207 2195 2178 2176 2962 2173 2363 2508 , m2503 m2207 (f2195) f2178 m2176 (f2962) f2173 m2363 f2508 , FMDHMDSD, 2503 2508, 2176 2178, G1, 1, G-2, 1, 4, 4
270, 2762, m, 2757, f, 2176, m, 2178, f, 2762 2487 2199 2197 2194 2178 2176 2174 6985 2265 2608 2267 2757 , m2762 m2487 f2199 (f2197) m2194 f2178 m2176 m2174 (m6985) f2265 f2608 m2267 f2757 , FMMSDHFFDDSD, 2757 2762, 2176 2178, G1, 2, G-2, 2, 6, 6
271, 2762, m, 2757, f, 2176, m, 2178, f, 2762 2487 2199 2197 2194 2178 2176 2174 6986 2265 2608 2267 2757 , m2762 m2487 f2199 (f2197) m2194 f2178 m2176 m2174 (f6986) f2265 f2608 m2267 f2757 , FMMSDHFMDDSD, 2757 2762, 2176 2178, G1, 2, G-2, 2, 6, 6
272, 2758, m, 3069, f, 2176, m, 2178, f, 2758 2267 2608 2265 6985 2174 2176 2178 2194 2197 2199 2487 3069 , m2758 m2267 f2608 f2265 (m6985) m2174 m2176 f2178 m2194 (f2197) f2199 m2487 f3069 , FMMFSSWFMDSD, 2758 3069, 2176 2178, G2, 2, G-1, 2, 7, 5
273, 2758, m, 3069, f, 2176, m, 2178, f, 2758 2267 2608 2265 6986 2174 2176 2178 2194 2197 2199 2487 3069 , m2758 m2267 f2608 f2265 (f6986) m2174 m2176 f2178 m2194 (f2197) f2199 m2487 f3069 , FMMMSSWFMDSD, 2758 3069, 2176 2178, G2, 2, G-1, 2, 7, 5
274, 2176, m, 2178, f, 7135, m, 7136, f, 2176 2174 6985 7135 7136 2727 2475 2202 2195 2178 , m2176 m2174 (m6985) m7135 f7136 f2727 (m2475) m2202 f2195 f2178 , FFSWMFSDD, 2176 2178, 7135 7136, G1, 1, G-1, 2, 4, 5
275, 2176, m, 2178, f, 7135, m, 7136, f, 2176 2174 6985 7135 7136 2727 2476 2202 2195 2178 , m2176 m2174 (m6985) m7135 f7136 f2727 (f2476) m2202 f2195 f2178 , FFSWMMSDD, 2176 2178, 7135 7136, G1, 1, G-1, 2, 4, 5
276, 2176, m, 2178, f, 7135, m, 7136, f, 2176 2174 6986 7135 7136 2727 2475 2202 2195 2178 , m2176 m2174 (f6986) m7135 f7136 f2727 (m2475) m2202 f2195 f2178 , FMSWMFSDD, 2176 2178, 7135 7136, G1, 1, G-1, 2, 4, 5
277, 2176, m, 2178, f, 7135, m, 7136, f, 2176 2174 6986 7135 7136 2727 2476 2202 2195 2178 , m2176 m2174 (f6986) m7135 f7136 f2727 (f2476) m2202 f2195 f2178 , FMSWMMSDD, 2176 2178, 7135 7136, G1, 1, G-1, 2, 4, 5
278, 3038, m, 2179, f, 2187, m, 2183, f, 3038 2739 2264 2187 2183 2173 2174 2175 2179 , m3038 f2739 (m2264) m2187 f2183 f2173 (m2174) m2175 f2179 , MFSWMFSD, 2179 3038, 2183 2187, G1, 1, G0, 2, 4, 4
279, 3038, m, 2179, f, 2187, m, 2183, f, 3038 2739 2264 2187 2183 2173 2962 2175 2179 , m3038 f2739 (m2264) m2187 f2183 f2173 (f2962) m2175 f2179 , MFSWMMSD, 2179 3038, 2183 2187, G1, 1, G0, 2, 4, 4
280, 2185, m, 2189, f, 3038, m, 2179, f, 2185 2173 2174 2175 2179 3038 2739 3040 2189 , m2185 f2173 (m2174) m2175 f2179 m3038 (f2739) m3040 f2189 , MFSDHMSD, 2185 2189, 2179 3038, G0, 2, G-1, 1, 5, 3
281, 2185, m, 2189, f, 3038, m, 2179, f, 2185 2173 2174 2175 2179 3038 2740 3040 2189 , m2185 f2173 (m2174) m2175 f2179 m3038 (m2740) m3040 f2189 , MFSDHFSD, 2185 2189, 2179 3038, G0, 2, G-1, 1, 5, 3
282, 2185, m, 2189, f, 3038, m, 2179, f, 2185 2173 2962 2175 2179 3038 2739 3040 2189 , m2185 f2173 (f2962) m2175 f2179 m3038 (f2739) m3040 f2189 , MMSDHMSD, 2185 2189, 2179 3038, G0, 2, G-1, 1, 5, 3
283, 2185, m, 2189, f, 3038, m, 2179, f, 2185 2173 2962 2175 2179 3038 2740 3040 2189 , m2185 f2173 (f2962) m2175 f2179 m3038 (m2740) m3040 f2189 , MMSDHFSD, 2185 2189, 2179 3038, G0, 2, G-1, 1, 5, 3
286, 2388, m, 2392, f, 3038, m, 2179, f, 2388 2361 2739 3038 2179 2175 2962 6987 6220 2498 2497 2392 , m2388 f2361 (f2739) m3038 f2179 m2175 f2962 (m6987) m6220 m2498 f2497 f2392 , MMSWFMFSSDD, 2388 2392, 2179 3038, G1, 1, G-1, 3, 4, 7
287, 2388, m, 2392, f, 3038, m, 2179, f, 2388 2361 2740 3038 2179 2175 2962 6987 6220 2498 2497 2392 , m2388 f2361 (m2740) m3038 f2179 m2175 f2962 (m6987) m6220 m2498 f2497 f2392 , MFSWFMFSSDD, 2388 2392, 2179 3038, G1, 1, G-1, 3, 4, 7
288, 2388, m, 2392, f, 3038, m, 2179, f, 2388 2361 2739 3038 2179 2175 2962 6988 6220 2498 2497 2392 , m2388 f2361 (f2739) m3038 f2179 m2175 f2962 (f6988) m6220 m2498 f2497 f2392 , MMSWFMMSSDD, 2388 2392, 2179 3038, G1, 1, G-1, 3, 4, 7
289, 2388, m, 2392, f, 3038, m, 2179, f, 2388 2361 2740 3038 2179 2175 2962 6988 6220 2498 2497 2392 , m2388 f2361 (m2740) m3038 f2179 m2175 f2962 (f6988) m6220 m2498 f2497 f2392 , MFSWFMMSSDD, 2388 2392, 2179 3038, G1, 1, G-1, 3, 4, 7
290, 2398, m, 2395, f, 3038, m, 2179, f, 2398 3040 2739 3038 2179 2175 2962 6987 6220 2498 2362 2395 , m2398 m3040 (f2739) m3038 f2179 m2175 f2962 (m6987) m6220 m2498 m2362 f2395 , FMSWFMFSSSD, 2395 2398, 2179 3038, G1, 1, G-1, 3, 4, 7
291, 2398, m, 2395, f, 3038, m, 2179, f, 2398 3040 2740 3038 2179 2175 2962 6987 6220 2498 2362 2395 , m2398 m3040 (m2740) m3038 f2179 m2175 f2962 (m6987) m6220 m2498 m2362 f2395 , FFSWFMFSSSD, 2395 2398, 2179 3038, G1, 1, G-1, 3, 4, 7
292, 2398, m, 2395, f, 3038, m, 2179, f, 2398 3040 2739 3038 2179 2175 2962 6988 6220 2498 2362 2395 , m2398 m3040 (f2739) m3038 f2179 m2175 f2962 (f6988) m6220 m2498 m2362 f2395 , FMSWFMMSSSD, 2395 2398, 2179 3038, G1, 1, G-1, 3, 4, 7
293, 2398, m, 2395, f, 3038, m, 2179, f, 2398 3040 2740 3038 2179 2175 2962 6988 6220 2498 2362 2395 , m2398 m3040 (m2740) m3038 f2179 m2175 f2962 (f6988) m6220 m2498 m2362 f2395 , FFSWFMMSSSD, 2395 2398, 2179 3038, G1, 1, G-1, 3, 4, 7
294, 2185, m, 2189, f, 2187, m, 2183, f, 2185 2173 2183 2187 2264 2739 3040 2189 , m2185 (f2173) f2183 m2187 (m2264) f2739 m3040 f2189 , MDHFDSD, 2185 2189, 2183 2187, G0, 1, G-2, 1, 3, 4
295, 2185, m, 2189, f, 2187, m, 2183, f, 2185 2964 2183 2187 2264 2739 3040 2189 , m2185 (m2964) f2183 m2187 (m2264) f2739 m3040 f2189 , FDHFDSD, 2185 2189, 2183 2187, G0, 1, G-2, 1, 3, 4
296, 2187, m, 2183, f, 2264, m, 2265, f, 2187 2264 2265 6985 2174 2173 2183 , m2187 (m2264) f2265 (m6985) m2174 f2173 f2183 , FWFSDD, 2183 2187, 2264 2265, G1, 0, G-2, 1, 2, 4
297, 2187, m, 2183, f, 2264, m, 2265, f, 2187 2264 2265 6986 2174 2173 2183 , m2187 (m2264) f2265 (f6986) m2174 f2173 f2183 , FWMSDD, 2183 2187, 2264 2265, G1, 0, G-2, 1, 2, 4
298, 2388, m, 2392, f, 2187, m, 2183, f, 2388 2361 2739 2264 2187 2183 2173 2962 6987 6220 2498 2497 2392 , m2388 f2361 f2739 (m2264) m2187 f2183 f2173 f2962 (m6987) m6220 m2498 f2497 f2392 , MMFSWMMFSSDD, 2388 2392, 2183 2187, G2, 1, G-1, 3, 5, 7
299, 2388, m, 2392, f, 2187, m, 2183, f, 2388 2361 2739 2264 2187 2183 2173 2962 6988 6220 2498 2497 2392 , m2388 f2361 f2739 (m2264) m2187 f2183 f2173 f2962 (f6988) m6220 m2498 f2497 f2392 , MMFSWMMMSSDD, 2388 2392, 2183 2187, G2, 1, G-1, 3, 5, 7
300, 2398, m, 2395, f, 2187, m, 2183, f, 2398 3040 2739 2264 2187 2183 2173 2962 6987 6220 2498 2362 2395 , m2398 m3040 f2739 (m2264) m2187 f2183 f2173 f2962 (m6987) m6220 m2498 m2362 f2395 , FMFSWMMFSSSD, 2395 2398, 2183 2187, G2, 1, G-1, 3, 5, 7
301, 2398, m, 2395, f, 2187, m, 2183, f, 2398 3040 2739 2264 2187 2183 2173 2962 6988 6220 2498 2362 2395 , m2398 m3040 f2739 (m2264) m2187 f2183 f2173 f2962 (f6988) m6220 m2498 m2362 f2395 , FMFSWMMMSSSD, 2395 2398, 2183 2187, G2, 1, G-1, 3, 5, 7
302, 2187, m, 2183, f, 6985, m, 6986, f, 2187 2265 6986 6985 2174 2173 2183 , m2187 f2265 (f6986) (m6985) m2174 f2173 f2183 , MMHSDD, 2183 2187, 6985 6986, G2, 0, G-3, 0, 3, 3
303, 2187, m, 2183, f, 6985, m, 6986, f, 2187 2265 6985 6986 2174 2173 2183 , m2187 f2265 (m6985) (f6986) m2174 f2173 f2183 , MFWSDD, 2183 2187, 6985 6986, G2, 0, G-3, 0, 3, 3
306, 2185, m, 2189, f, 2264, m, 2265, f, 2185 2173 2174 6985 2265 2264 2739 3040 2189 , m2185 f2173 m2174 (m6985) f2265 (m2264) f2739 m3040 f2189 , MFFDHDSD, 2185 2189, 2264 2265, G2, 1, G-3, 0, 5, 3
307, 2185, m, 2189, f, 2264, m, 2265, f, 2185 2173 2174 6986 2265 2264 2739 3040 2189 , m2185 f2173 m2174 (f6986) f2265 (m2264) f2739 m3040 f2189 , MFMDHDSD, 2185 2189, 2264 2265, G2, 1, G-3, 0, 5, 3
308, 2388, m, 2392, f, 2185, m, 2189, f, 2388 2361 2739 3040 2189 2185 2173 2962 6987 6220 2498 2497 2392 , m2388 f2361 (f2739) m3040 f2189 m2185 f2173 f2962 (m6987) m6220 m2498 f2497 f2392 , MMSDHMMFSSDD, 2388 2392, 2185 2189, G0, 2, G-1, 3, 5, 7
309, 2388, m, 2392, f, 2185, m, 2189, f, 2388 2361 2740 3040 2189 2185 2173 2962 6987 6220 2498 2497 2392 , m2388 f2361 (m2740) m3040 f2189 m2185 f2173 f2962 (m6987) m6220 m2498 f2497 f2392 , MFSDHMMFSSDD, 2388 2392, 2185 2189, G0, 2, G-1, 3, 5, 7
310, 2388, m, 2392, f, 2185, m, 2189, f, 2388 2361 2739 3040 2189 2185 2173 2962 6988 6220 2498 2497 2392 , m2388 f2361 (f2739) m3040 f2189 m2185 f2173 f2962 (f6988) m6220 m2498 f2497 f2392 , MMSDHMMMSSDD, 2388 2392, 2185 2189, G0, 2, G-1, 3, 5, 7
311, 2388, m, 2392, f, 2185, m, 2189, f, 2388 2361 2740 3040 2189 2185 2173 2962 6988 6220 2498 2497 2392 , m2388 f2361 (m2740) m3040 f2189 m2185 f2173 f2962 (f6988) m6220 m2498 f2497 f2392 , MFSDHMMMSSDD, 2388 2392, 2185 2189, G0, 2, G-1, 3, 5, 7
312, 2398, m, 2395, f, 2185, m, 2189, f, 2398 3040 2189 2185 2173 2962 6987 6220 2498 2362 2395 , m2398 (m3040) f2189 m2185 f2173 f2962 (m6987) m6220 m2498 m2362 f2395 , FDHMMFSSSD, 2395 2398, 2185 2189, G0, 1, G-1, 3, 3, 7
313, 2398, m, 2395, f, 2185, m, 2189, f, 2398 3042 2189 2185 2173 2962 6987 6220 2498 2362 2395 , m2398 (f3042) f2189 m2185 f2173 f2962 (m6987) m6220 m2498 m2362 f2395 , MDHMMFSSSD, 2395 2398, 2185 2189, G0, 1, G-1, 3, 3, 7
314, 2398, m, 2395, f, 2185, m, 2189, f, 2398 3040 2189 2185 2173 2962 6988 6220 2498 2362 2395 , m2398 (m3040) f2189 m2185 f2173 f2962 (f6988) m6220 m2498 m2362 f2395 , FDHMMMSSSD, 2395 2398, 2185 2189, G0, 1, G-1, 3, 3, 7
315, 2398, m, 2395, f, 2185, m, 2189, f, 2398 3042 2189 2185 2173 2962 6988 6220 2498 2362 2395 , m2398 (f3042) f2189 m2185 f2173 f2962 (f6988) m6220 m2498 m2362 f2395 , MDHMMMSSSD, 2395 2398, 2185 2189, G0, 1, G-1, 3, 3, 7
316, 2213, m, 2217, f, 2210, m, 2186, f, 2213 2171 2173 2186 2210 2436 2220 2217 , m2213 m2171 (f2173) f2186 m2210 (m2436) f2220 f2217 , FMDHFDD, 2213 2217, 2186 2210, G1, 1, G-1, 1, 4, 3
317, 2213, m, 2217, f, 2210, m, 2186, f, 2213 2171 2173 2186 2210 2437 2220 2217 , m2213 m2171 (f2173) f2186 m2210 (f2437) f2220 f2217 , FMDHMDD, 2213 2217, 2186 2210, G1, 1, G-1, 1, 4, 3
318, 2404, m, 2399, f, 2210, m, 2186, f, 2404 2220 2436 2210 2186 2173 2363 2399 , m2404 f2220 (m2436) m2210 f2186 (f2173) m2363 f2399 , MFSWMSD, 2399 2404, 2186 2210, G1, 1, G-1, 1, 4, 3
319, 2404, m, 2399, f, 2210, m, 2186, f, 2404 2220 2437 2210 2186 2173 2363 2399 , m2404 f2220 (f2437) m2210 f2186 (f2173) m2363 f2399 , MMSWMSD, 2399 2404, 2186 2210, G1, 1, G-1, 1, 4, 3
320, 2404, m, 2399, f, 2210, m, 2186, f, 2404 2220 2436 2210 2186 2964 2363 2399 , m2404 f2220 (m2436) m2210 f2186 (m2964) m2363 f2399 , MFSWFSD, 2399 2404, 2186 2210, G1, 1, G-1, 1, 4, 3
321, 2404, m, 2399, f, 2210, m, 2186, f, 2404 2220 2437 2210 2186 2964 2363 2399 , m2404 f2220 (f2437) m2210 f2186 (m2964) m2363 f2399 , MMSWFSD, 2399 2404, 2186 2210, G1, 1, G-1, 1, 4, 3
322, 2458, m, 2460, f, 2210, m, 2186, f, 2458 2438 2436 2210 2186 2173 2174 6985 2265 2608 2267 2460 , m2458 m2438 (m2436) m2210 f2186 f2173 m2174 (m6985) f2265 f2608 m2267 f2460 , FFSWMFFDDSD, 2458 2460, 2186 2210, G1, 1, G-1, 3, 4, 7
323, 2458, m, 2460, f, 2210, m, 2186, f, 2458 2438 2437 2210 2186 2173 2174 6985 2265 2608 2267 2460 , m2458 m2438 (f2437) m2210 f2186 f2173 m2174 (m6985) f2265 f2608 m2267 f2460 , FMSWMFFDDSD, 2458 2460, 2186 2210, G1, 1, G-1, 3, 4, 7
324, 2458, m, 2460, f, 2210, m, 2186, f, 2458 2438 2436 2210 2186 2173 2174 6986 2265 2608 2267 2460 , m2458 m2438 (m2436) m2210 f2186 f2173 m2174 (f6986) f2265 f2608 m2267 f2460 , FFSWMFMDDSD, 2458 2460, 2186 2210, G1, 1, G-1, 3, 4, 7
325, 2458, m, 2460, f, 2210, m, 2186, f, 2458 2438 2437 2210 2186 2173 2174 6986 2265 2608 2267 2460 , m2458 m2438 (f2437) m2210 f2186 f2173 m2174 (f6986) f2265 f2608 m2267 f2460 , FMSWMFMDDSD, 2458 2460, 2186 2210, G1, 1, G-1, 3, 4, 7
326, 2462, m, 2465, f, 2210, m, 2186, f, 2462 2220 2436 2210 2186 2173 2174 2176 2465 , m2462 f2220 (m2436) m2210 f2186 f2173 (m2174) m2176 f2465 , MFSWMFSD, 2462 2465, 2186 2210, G1, 1, G0, 2, 4, 4
327, 2462, m, 2465, f, 2210, m, 2186, f, 2462 2220 2437 2210 2186 2173 2174 2176 2465 , m2462 f2220 (f2437) m2210 f2186 f2173 (m2174) m2176 f2465 , MMSWMFSD, 2462 2465, 2186 2210, G1, 1, G0, 2, 4, 4
328, 2462, m, 2465, f, 2210, m, 2186, f, 2462 2220 2436 2210 2186 2173 2962 2176 2465 , m2462 f2220 (m2436) m2210 f2186 f2173 (f2962) m2176 f2465 , MFSWMMSD, 2462 2465, 2186 2210, G1, 1, G0, 2, 4, 4
329, 2462, m, 2465, f, 2210, m, 2186, f, 2462 2220 2437 2210 2186 2173 2962 2176 2465 , m2462 f2220 (f2437) m2210 f2186 f2173 (f2962) m2176 f2465 , MMSWMMSD, 2462 2465, 2186 2210, G1, 1, G0, 2, 4, 4
330, 2489, m, 2490, f, 2210, m, 2186, f, 2489 2176 2174 2173 2186 2210 2437 2835 2861 2557 2490 , m2489 m2176 (m2174) f2173 f2186 m2210 f2437 (m2835) f2861 f2557 f2490 , FFDDHMFDDD, 2489 2490, 2186 2210, G0, 2, G-1, 2, 5, 5
331, 2489, m, 2490, f, 2210, m, 2186, f, 2489 2176 2174 2173 2186 2210 2437 2836 2861 2557 2490 , m2489 m2176 (m2174) f2173 f2186 m2210 f2437 (f2836) f2861 f2557 f2490 , FFDDHMMDDD, 2489 2490, 2186 2210, G0, 2, G-1, 2, 5, 5
332, 2489, m, 2490, f, 2210, m, 2186, f, 2489 2176 2962 2173 2186 2210 2437 2835 2861 2557 2490 , m2489 m2176 (f2962) f2173 f2186 m2210 f2437 (m2835) f2861 f2557 f2490 , FMDDHMFDDD, 2489 2490, 2186 2210, G0, 2, G-1, 2, 5, 5
333, 2489, m, 2490, f, 2210, m, 2186, f, 2489 2176 2962 2173 2186 2210 2437 2836 2861 2557 2490 , m2489 m2176 (f2962) f2173 f2186 m2210 f2437 (f2836) f2861 f2557 f2490 , FMDDHMMDDD, 2489 2490, 2186 2210, G0, 2, G-1, 2, 5, 5
334, 2210, m, 2186, f, 2709, m, 2754, f, 2210 2436 2711 2709 2754 2265 6985 2174 2173 2186 , m2210 m2436 (m2711) m2709 f2754 f2265 (m6985) m2174 f2173 f2186 , FFSWMFSDD, 2186 2210, 2709 2754, G1, 1, G-1, 2, 4, 5
335, 2210, m, 2186, f, 2709, m, 2754, f, 2210 2436 2712 2709 2754 2265 6985 2174 2173 2186 , m2210 m2436 (f2712) m2709 f2754 f2265 (m6985) m2174 f2173 f2186 , FMSWMFSDD, 2186 2210, 2709 2754, G1, 1, G-1, 2, 4, 5
336, 2210, m, 2186, f, 2709, m, 2754, f, 2210 2436 2711 2709 2754 2265 6986 2174 2173 2186 , m2210 m2436 (m2711) m2709 f2754 f2265 (f6986) m2174 f2173 f2186 , FFSWMMSDD, 2186 2210, 2709 2754, G1, 1, G-1, 2, 4, 5
337, 2210, m, 2186, f, 2709, m, 2754, f, 2210 2436 2712 2709 2754 2265 6986 2174 2173 2186 , m2210 m2436 (f2712) m2709 f2754 f2265 (f6986) m2174 f2173 f2186 , FMSWMMSDD, 2186 2210, 2709 2754, G1, 1, G-1, 2, 4, 5
338, 2762, m, 2757, f, 2210, m, 2186, f, 2762 2441 2433 2436 2210 2186 2173 2174 6985 2265 2608 2267 2757 , m2762 f2441 f2433 (m2436) m2210 f2186 f2173 m2174 (m6985) f2265 f2608 m2267 f2757 , MMFSWMFFDDSD, 2757 2762, 2186 2210, G2, 1, G-1, 3, 5, 7
339, 2762, m, 2757, f, 2210, m, 2186, f, 2762 2441 2433 2437 2210 2186 2173 2174 6985 2265 2608 2267 2757 , m2762 f2441 f2433 (f2437) m2210 f2186 f2173 m2174 (m6985) f2265 f2608 m2267 f2757 , MMMSWMFFDDSD, 2757 2762, 2186 2210, G2, 1, G-1, 3, 5, 7
340, 2762, m, 2757, f, 2210, m, 2186, f, 2762 2441 2433 2436 2210 2186 2173 2174 6986 2265 2608 2267 2757 , m2762 f2441 f2433 (m2436) m2210 f2186 f2173 m2174 (f6986) f2265 f2608 m2267 f2757 , MMFSWMFMDDSD, 2757 2762, 2186 2210, G2, 1, G-1, 3, 5, 7
341, 2762, m, 2757, f, 2210, m, 2186, f, 2762 2441 2433 2437 2210 2186 2173 2174 6986 2265 2608 2267 2757 , m2762 f2441 f2433 (f2437) m2210 f2186 f2173 m2174 (f6986) f2265 f2608 m2267 f2757 , MMMSWMFMDDSD, 2757 2762, 2186 2210, G2, 1, G-1, 3, 5, 7
342, 2758, m, 3069, f, 2210, m, 2186, f, 2758 2267 2608 2265 6985 2174 2173 2186 2210 2436 2433 2441 3069 , m2758 m2267 f2608 f2265 (m6985) m2174 f2173 f2186 m2210 (m2436) f2433 f2441 f3069 , FMMFSDDHFDDD, 2758 3069, 2186 2210, G1, 3, G-2, 1, 8, 4
343, 2758, m, 3069, f, 2210, m, 2186, f, 2758 2267 2608 2265 6985 2174 2173 2186 2210 2437 2433 2441 3069 , m2758 m2267 f2608 f2265 (m6985) m2174 f2173 f2186 m2210 (f2437) f2433 f2441 f3069 , FMMFSDDHMDDD, 2758 3069, 2186 2210, G1, 3, G-2, 1, 8, 4
344, 2758, m, 3069, f, 2210, m, 2186, f, 2758 2267 2608 2265 6986 2174 2173 2186 2210 2436 2433 2441 3069 , m2758 m2267 f2608 f2265 (f6986) m2174 f2173 f2186 m2210 (m2436) f2433 f2441 f3069 , FMMMSDDHFDDD, 2758 3069, 2186 2210, G1, 3, G-2, 1, 8, 4
345, 2758, m, 3069, f, 2210, m, 2186, f, 2758 2267 2608 2265 6986 2174 2173 2186 2210 2437 2433 2441 3069 , m2758 m2267 f2608 f2265 (f6986) m2174 f2173 f2186 m2210 (f2437) f2433 f2441 f3069 , FMMMSDDHMDDD, 2758 3069, 2186 2210, G1, 3, G-2, 1, 8, 4
346, 2213, m, 2217, f, 2802, m, 2191, f, 2213 2171 2173 2174 6985 2265 2187 2191 2802 2527 2526 2607 2605 2219 2217 , m2213 m2171 f2173 m2174 (m6985) f2265 m2187 f2191 m2802 m2527 f2526 (m2607) f2605 m2219 f2217 , FMFFDSDHFMFDSD, 2213 2217, 2191 2802, G1, 3, G0, 3, 8, 6
347, 2213, m, 2217, f, 2802, m, 2191, f, 2213 2171 2173 2174 6985 2265 2187 2191 2802 2527 2526 6117 2605 2219 2217 , m2213 m2171 f2173 m2174 (m6985) f2265 m2187 f2191 m2802 m2527 f2526 (f6117) f2605 m2219 f2217 , FMFFDSDHFMMDSD, 2213 2217, 2191 2802, G1, 3, G0, 3, 8, 6
348, 2213, m, 2217, f, 2802, m, 2191, f, 2213 2171 2173 2174 6986 2265 2187 2191 2802 2527 2526 2607 2605 2219 2217 , m2213 m2171 f2173 m2174 (f6986) f2265 m2187 f2191 m2802 m2527 f2526 (m2607) f2605 m2219 f2217 , FMFMDSDHFMFDSD, 2213 2217, 2191 2802, G1, 3, G0, 3, 8, 6
349, 2213, m, 2217, f, 2802, m, 2191, f, 2213 2171 2173 2174 6986 2265 2187 2191 2802 2527 2526 6117 2605 2219 2217 , m2213 m2171 f2173 m2174 (f6986) f2265 m2187 f2191 m2802 m2527 f2526 (f6117) f2605 m2219 f2217 , FMFMDSDHFMMDSD, 2213 2217, 2191 2802, G1, 3, G0, 3, 8, 6
350, 2372, m, 2502, f, 2802, m, 2191, f, 2372 2360 2527 2802 2191 2183 2173 2962 6987 6220 2498 2497 2502 , m2372 f2360 (m2527) m2802 f2191 f2183 f2173 f2962 (m6987) m6220 m2498 f2497 f2502 , MFSWMMMFSSDD, 2372 2502, 2191 2802, G1, 1, G0, 4, 4, 8
351, 2372, m, 2502, f, 2802, m, 2191, f, 2372 2360 2530 2802 2191 2183 2173 2962 6987 6220 2498 2497 2502 , m2372 f2360 (f2530) m2802 f2191 f2183 f2173 f2962 (m6987) m6220 m2498 f2497 f2502 , MMSWMMMFSSDD, 2372 2502, 2191 2802, G1, 1, G0, 4, 4, 8
352, 2372, m, 2502, f, 2802, m, 2191, f, 2372 2360 2527 2802 2191 2183 2173 2962 6988 6220 2498 2497 2502 , m2372 f2360 (m2527) m2802 f2191 f2183 f2173 f2962 (f6988) m6220 m2498 f2497 f2502 , MFSWMMMMSSDD, 2372 2502, 2191 2802, G1, 1, G0, 4, 4, 8
353, 2372, m, 2502, f, 2802, m, 2191, f, 2372 2360 2530 2802 2191 2183 2173 2962 6988 6220 2498 2497 2502 , m2372 f2360 (f2530) m2802 f2191 f2183 f2173 f2962 (f6988) m6220 m2498 f2497 f2502 , MMSWMMMMSSDD, 2372 2502, 2191 2802, G1, 1, G0, 4, 4, 8
354, 2388, m, 2392, f, 2802, m, 2191, f, 2388 2361 2739 2264 2187 2191 2802 2527 2526 2607 2605 2499 2497 2392 , m2388 f2361 f2739 (m2264) m2187 f2191 m2802 m2527 f2526 (m2607) f2605 f2499 f2497 f2392 , MMFSDHFMFDDDD, 2388 2392, 2191 2802, G1, 2, G-1, 3, 6, 7
355, 2388, m, 2392, f, 2802, m, 2191, f, 2388 2361 2739 2264 2187 2191 2802 2527 2526 6117 2605 2499 2497 2392 , m2388 f2361 f2739 (m2264) m2187 f2191 m2802 m2527 f2526 (f6117) f2605 f2499 f2497 f2392 , MMFSDHFMMDDDD, 2388 2392, 2191 2802, G1, 2, G-1, 3, 6, 7
356, 2398, m, 2395, f, 2802, m, 2191, f, 2398 3040 2739 2264 2187 2191 2802 2527 2526 2607 2605 2499 2362 2395 , m2398 m3040 f2739 (m2264) m2187 f2191 m2802 m2527 f2526 (m2607) f2605 f2499 m2362 f2395 , FMFSDHFMFDDSD, 2395 2398, 2191 2802, G1, 2, G-1, 3, 6, 7
357, 2398, m, 2395, f, 2802, m, 2191, f, 2398 3040 2739 2264 2187 2191 2802 2527 2526 6117 2605 2499 2362 2395 , m2398 m3040 f2739 (m2264) m2187 f2191 m2802 m2527 f2526 (f6117) f2605 f2499 m2362 f2395 , FMFSDHFMMDDSD, 2395 2398, 2191 2802, G1, 2, G-1, 3, 6, 7
358, 2404, m, 2399, f, 2802, m, 2191, f, 2404 2219 2605 2607 2526 2527 2802 2191 2187 2265 6985 2174 2173 2363 2399 , m2404 m2219 f2605 (m2607) f2526 m2527 m2802 f2191 m2187 f2265 (m6985) m2174 f2173 m2363 f2399 , FMFDSSWFMFSDSD, 2399 2404, 2191 2802, G0, 3, G-1, 3, 7, 7
