5, 2004, m, 2005, f, 2053, m, 2059, f, 2004 2006 2823 2824 2059 2053 2047 2045 2005 , m2004 (m2006) m2823 m2824 f2059 m2053 m2047 (m2045) f2005 , FSSDHFFD, 2004 2005, 2053 2059, G-2, 1, G1, 1, 5, 3
186, 2053, m, 2059, f, 2559, m, 2076, f, 2053 2049 2052 2076 2559 2557 2008 6657 2823 2824 2059 , m2053 (f2049) f2052 f2076 m2559 f2557 m2008 (f6657) m2823 m2824 f2059 , MDDHMFMSSD, 2053 2059, 2076 2559, G-1, 1, G0, 3, 4, 6
523, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2194 2196 2198 2485 2614 2529 2526 2607 2605 2499 2497 , m2207 m2194 (m2196) m2198 m2485 f2614 m2529 f2526 (m2607) f2605 f2499 f2497 , FFSSWFMFDDD, 2207 2497, 2485 2614, G0, 2, G0, 3, 5, 6
524, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2194 2196 2198 2485 2614 2529 2526 6117 2605 2499 2497 , m2207 m2194 (m2196) m2198 m2485 f2614 m2529 f2526 (f6117) f2605 f2499 f2497 , FFSSWFMMDDD, 2207 2497, 2485 2614, G0, 2, G0, 3, 5, 6
525, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2194 2197 2198 2485 2614 2529 2526 2607 2605 2499 2497 , m2207 m2194 (f2197) m2198 m2485 f2614 m2529 f2526 (m2607) f2605 f2499 f2497 , FMSSWFMFDDD, 2207 2497, 2485 2614, G0, 2, G0, 3, 5, 6
526, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2194 2197 2198 2485 2614 2529 2526 6117 2605 2499 2497 , m2207 m2194 (f2197) m2198 m2485 f2614 m2529 f2526 (f6117) f2605 f2499 f2497 , FMSSWFMMDDD, 2207 2497, 2485 2614, G0, 2, G0, 3, 5, 6
527, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2195 2202 2475 2474 2200 2485 2614 2529 2526 2607 2605 2499 2497 , m2207 f2195 m2202 (m2475) m2474 f2200 m2485 f2614 m2529 f2526 (m2607) f2605 f2499 f2497 , MFFSDSWFMFDDD, 2207 2497, 2485 2614, G0, 3, G0, 3, 7, 6
528, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2195 2202 2475 2474 2200 2485 2614 2529 2526 6117 2605 2499 2497 , m2207 f2195 m2202 (m2475) m2474 f2200 m2485 f2614 m2529 f2526 (f6117) f2605 f2499 f2497 , MFFSDSWFMMDDD, 2207 2497, 2485 2614, G0, 3, G0, 3, 7, 6
529, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2195 2202 2476 2474 2200 2485 2614 2529 2526 2607 2605 2499 2497 , m2207 f2195 m2202 (f2476) m2474 f2200 m2485 f2614 m2529 f2526 (m2607) f2605 f2499 f2497 , MFMSDSWFMFDDD, 2207 2497, 2485 2614, G0, 3, G0, 3, 7, 6
530, 2207, m, 2497, f, 2485, m, 2614, f, 2207 2195 2202 2476 2474 2200 2485 2614 2529 2526 6117 2605 2499 2497 , m2207 f2195 m2202 (f2476) m2474 f2200 m2485 f2614 m2529 f2526 (f6117) f2605 f2499 f2497 , MFMSDSWFMMDDD, 2207 2497, 2485 2614, G0, 3, G0, 3, 7, 6
545, 2208, m, 2212, f, 2379, m, 2385, f, 2208 2195 2202 2475 2474 2478 2385 2379 2352 2324 2351 2212 , m2208 f2195 m2202 (m2475) m2474 m2478 f2385 m2379 f2352 (m2324) f2351 f2212 , MFFSSDHMFDD, 2208 2212, 2379 2385, G0, 3, G0, 2, 7, 4
546, 2208, m, 2212, f, 2379, m, 2385, f, 2208 2195 2202 2475 2474 2478 2385 2379 2352 2325 2351 2212 , m2208 f2195 m2202 (m2475) m2474 m2478 f2385 m2379 f2352 (f2325) f2351 f2212 , MFFSSDHMMDD, 2208 2212, 2379 2385, G0, 3, G0, 2, 7, 4
547, 2208, m, 2212, f, 2379, m, 2385, f, 2208 2195 2202 2476 2474 2478 2385 2379 2352 2324 2351 2212 , m2208 f2195 m2202 (f2476) m2474 m2478 f2385 m2379 f2352 (m2324) f2351 f2212 , MFMSSDHMFDD, 2208 2212, 2379 2385, G0, 3, G0, 2, 7, 4
548, 2208, m, 2212, f, 2379, m, 2385, f, 2208 2195 2202 2476 2474 2478 2385 2379 2352 2325 2351 2212 , m2208 f2195 m2202 (f2476) m2474 m2478 f2385 m2379 f2352 (f2325) f2351 f2212 , MFMSSDHMMDD, 2208 2212, 2379 2385, G0, 3, G0, 2, 7, 4
821, 2353, m, 2360, f, 2379, m, 2385, f, 2353 2324 2352 2379 2385 2482 2605 2607 2526 2527 2360 , m2353 (m2324) f2352 m2379 f2385 f2482 f2605 (m2607) f2526 m2527 f2360 , FDSWMMFDSD, 2353 2360, 2379 2385, G-1, 1, G0, 3, 4, 6
822, 2353, m, 2360, f, 2379, m, 2385, f, 2353 2324 2352 2379 2385 2482 2605 6117 2526 2527 2360 , m2353 (m2324) f2352 m2379 f2385 f2482 f2605 (f6117) f2526 m2527 f2360 , FDSWMMMDSD, 2353 2360, 2379 2385, G-1, 1, G0, 3, 4, 6
823, 2353, m, 2360, f, 2379, m, 2385, f, 2353 2325 2352 2379 2385 2482 2605 2607 2526 2527 2360 , m2353 (f2325) f2352 m2379 f2385 f2482 f2605 (m2607) f2526 m2527 f2360 , MDSWMMFDSD, 2353 2360, 2379 2385, G-1, 1, G0, 3, 4, 6
824, 2353, m, 2360, f, 2379, m, 2385, f, 2353 2325 2352 2379 2385 2482 2605 6117 2526 2527 2360 , m2353 (f2325) f2352 m2379 f2385 f2482 f2605 (f6117) f2526 m2527 f2360 , MDSWMMMDSD, 2353 2360, 2379 2385, G-1, 1, G0, 3, 4, 6
983, 2365, m, 2369, f, 2379, m, 2385, f, 2365 2351 2324 2352 2379 2385 2478 2725 2726 2264 2739 3040 2369 , m2365 f2351 (m2324) f2352 m2379 f2385 m2478 f2725 (f2726) m2264 f2739 m3040 f2369 , MFDSWFMMSDSD, 2365 2369, 2379 2385, G0, 2, G-1, 3, 5, 7
984, 2365, m, 2369, f, 2379, m, 2385, f, 2365 2351 2325 2352 2379 2385 2478 2725 2726 2264 2739 3040 2369 , m2365 f2351 (f2325) f2352 m2379 f2385 m2478 f2725 (f2726) m2264 f2739 m3040 f2369 , MMDSWFMMSDSD, 2365 2369, 2379 2385, G0, 2, G-1, 3, 5, 7
1852, 2478, m, 2482, f, 2485, m, 2614, f, 2478 2474 2200 2485 2614 2529 2526 2607 2605 2482 , m2478 (m2474) f2200 m2485 f2614 m2529 f2526 (m2607) f2605 f2482 , FDSWFMFDD, 2478 2482, 2485 2614, G-1, 1, G1, 2, 4, 5
1853, 2478, m, 2482, f, 2485, m, 2614, f, 2478 2474 2200 2485 2614 2529 2526 6117 2605 2482 , m2478 (m2474) f2200 m2485 f2614 m2529 f2526 (f6117) f2605 f2482 , FDSWFMMDD, 2478 2482, 2485 2614, G-1, 1, G1, 2, 4, 5
1854, 2478, m, 2482, f, 2485, m, 2614, f, 2478 2725 2200 2485 2614 2529 2526 2607 2605 2482 , m2478 (f2725) f2200 m2485 f2614 m2529 f2526 (m2607) f2605 f2482 , MDSWFMFDD, 2478 2482, 2485 2614, G-1, 1, G1, 2, 4, 5
1855, 2478, m, 2482, f, 2485, m, 2614, f, 2478 2725 2200 2485 2614 2529 2526 6117 2605 2482 , m2478 (f2725) f2200 m2485 f2614 m2529 f2526 (f6117) f2605 f2482 , MDSWFMMDD, 2478 2482, 2485 2614, G-1, 1, G1, 2, 4, 5
1860, 2478, m, 2482, f, 2676, m, 2677, f, 2478 2725 2726 2172 2676 2677 2527 2526 2607 2605 2482 , m2478 f2725 (f2726) m2172 m2676 f2677 m2527 f2526 (m2607) f2605 f2482 , MMSSWFMFDD, 2478 2482, 2676 2677, G0, 2, G1, 2, 5, 5
1861, 2478, m, 2482, f, 2676, m, 2677, f, 2478 2725 2726 2172 2676 2677 2527 2526 6117 2605 2482 , m2478 f2725 (f2726) m2172 m2676 f2677 m2527 f2526 (f6117) f2605 f2482 , MMSSWFMMDD, 2478 2482, 2676 2677, G0, 2, G1, 2, 5, 5
1885, 2485, m, 2614, f, 2676, m, 2677, f, 2485 2200 2725 2726 2172 2676 2677 2527 2525 2529 2614 , m2485 f2200 f2725 (f2726) m2172 m2676 f2677 m2527 (m2525) m2529 f2614 , MMMSSWFFSD, 2485 2614, 2676 2677, G1, 2, G0, 2, 6, 4
1886, 2485, m, 2614, f, 2676, m, 2677, f, 2485 2200 2725 2726 2172 2676 2677 2527 2526 2529 2614 , m2485 f2200 f2725 (f2726) m2172 m2676 f2677 m2527 (f2526) m2529 f2614 , MMMSSWFMSD, 2485 2614, 2676 2677, G1, 2, G0, 2, 6, 4
2007, 2723, m, 2828, f, 4969, m, 4970, f, 2723 2721 4969 4970 2096 2004 2006 2823 2824 2828 , m2723 (m2721) m4969 f4970 m2096 m2004 (m2006) m2823 m2824 f2828 , FSWFFFSSD, 2723 2828, 4969 4970, G0, 1, G0, 3, 3, 6
2008, 2723, m, 2828, f, 4969, m, 4970, f, 2723 2722 4969 4970 2096 2004 2006 2823 2824 2828 , m2723 (f2722) m4969 f4970 m2096 m2004 (m2006) m2823 m2824 f2828 , MSWFFFSSD, 2723 2828, 4969 4970, G0, 1, G0, 3, 3, 6
2015, 2844, m, 2841, f, 6621, m, 6622, f, 2844 6983 6242 6622 6621 6515 2842 2841 , m2844 (m6983) f6242 f6622 m6621 f6515 (m2842) f2841 , FDDHMFD, 2841 2844, 6621 6622, G-1, 1, G1, 1, 4, 3
2016, 2844, m, 2841, f, 6621, m, 6622, f, 2844 6984 6242 6622 6621 6515 2842 2841 , m2844 (f6984) f6242 f6622 m6621 f6515 (m2842) f2841 , MDDHMFD, 2841 2844, 6621 6622, G-1, 1, G1, 1, 4, 3
2017, 2844, m, 2841, f, 6621, m, 6622, f, 2844 6983 6242 6622 6621 6515 2843 2841 , m2844 (m6983) f6242 f6622 m6621 f6515 (f2843) f2841 , FDDHMMD, 2841 2844, 6621 6622, G-1, 1, G1, 1, 4, 3
2018, 2844, m, 2841, f, 6621, m, 6622, f, 2844 6984 6242 6622 6621 6515 2843 2841 , m2844 (f6984) f6242 f6622 m6621 f6515 (f2843) f2841 , MDDHMMD, 2841 2844, 6621 6622, G-1, 1, G1, 1, 4, 3
2043, 3999, m, 3323, f, 6157, m, 6158, f, 3999 5072 6812 6159 6158 6157 3324 3323 , m3999 f5072 (m6812) f6159 f6158 m6157 (m3324) f3323 , MFDDHFD, 3323 3999, 6157 6158, G0, 2, G0, 1, 5, 2
2044, 3999, m, 3323, f, 6157, m, 6158, f, 3999 5072 6813 6159 6158 6157 3324 3323 , m3999 f5072 (f6813) f6159 f6158 m6157 (m3324) f3323 , MMDDHFD, 3323 3999, 6157 6158, G0, 2, G0, 1, 5, 2
2045, 3999, m, 3323, f, 6157, m, 6158, f, 3999 5072 6812 6159 6158 6157 3325 3323 , m3999 f5072 (m6812) f6159 f6158 m6157 (f3325) f3323 , MFDDHMD, 3323 3999, 6157 6158, G0, 2, G0, 1, 5, 2
2046, 3999, m, 3323, f, 6157, m, 6158, f, 3999 5072 6813 6159 6158 6157 3325 3323 , m3999 f5072 (f6813) f6159 f6158 m6157 (f3325) f3323 , MMDDHMD, 3323 3999, 6157 6158, G0, 2, G0, 1, 5, 2
2053, 3521, m, 3524, f, 4473, m, 4474, f, 3521 3522 4134 4474 4473 3525 3524 , m3521 (m3522) m4134 f4474 m4473 (m3525) f3524 , FSDHFD, 3521 3524, 4473 4474, G-1, 1, G0, 1, 4, 2
2054, 3521, m, 3524, f, 4473, m, 4474, f, 3521 3523 4134 4474 4473 3525 3524 , m3521 (f3523) m4134 f4474 m4473 (m3525) f3524 , MSDHFD, 3521 3524, 4473 4474, G-1, 1, G0, 1, 4, 2
2055, 3558, m, 3561, f, 4386, m, 4387, f, 3558 3559 4387 4386 3428 3561 , m3558 (m3559) f4387 m4386 (m3428) f3561 , FDHFD, 3558 3561, 4386 4387, G0, 1, G0, 1, 3, 2
2056, 3558, m, 3561, f, 4386, m, 4387, f, 3558 3559 4387 4386 3434 3561 , m3558 (m3559) f4387 m4386 (f3434) f3561 , FDHMD, 3558 3561, 4386 4387, G0, 1, G0, 1, 3, 2
2057, 3558, m, 3561, f, 4386, m, 4387, f, 3558 3560 4387 4386 3428 3561 , m3558 (f3560) f4387 m4386 (m3428) f3561 , MDHFD, 3558 3561, 4386 4387, G0, 1, G0, 1, 3, 2
2058, 3558, m, 3561, f, 4386, m, 4387, f, 3558 3560 4387 4386 3434 3561 , m3558 (f3560) f4387 m4386 (f3434) f3561 , MDHMD, 3558 3561, 4386 4387, G0, 1, G0, 1, 3, 2
2067, 3748, m, 3750, f, 4808, m, 4809, f, 3748 3158 4808 4809 3751 3750 , m3748 (m3158) m4808 f4809 (m3751) f3750 , FSWFD, 3748 3750, 4808 4809, G0, 1, G0, 1, 3, 2
2068, 3748, m, 3750, f, 4808, m, 4809, f, 3748 3158 4808 4809 3752 3750 , m3748 (m3158) m4808 f4809 (f3752) f3750 , FSWMD, 3748 3750, 4808 4809, G0, 1, G0, 1, 3, 2
2069, 3748, m, 3750, f, 4808, m, 4809, f, 3748 3749 4808 4809 3751 3750 , m3748 (f3749) m4808 f4809 (m3751) f3750 , MSWFD, 3748 3750, 4808 4809, G0, 1, G0, 1, 3, 2
2070, 3748, m, 3750, f, 4808, m, 4809, f, 3748 3749 4808 4809 3752 3750 , m3748 (f3749) m4808 f4809 (f3752) f3750 , MSWMD, 3748 3750, 4808 4809, G0, 1, G0, 1, 3, 2
2071, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3990 4556 4554 4555 3324 3349 3992 , m3989 (m3990) f4556 m4554 f4555 (m3324) m3349 f3992 , FDHMFSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
2072, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3990 4556 4554 4555 3325 3349 3992 , m3989 (m3990) f4556 m4554 f4555 (f3325) m3349 f3992 , FDHMMSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
2073, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3991 4556 4554 4555 3324 3349 3992 , m3989 (f3991) f4556 m4554 f4555 (m3324) m3349 f3992 , MDHMFSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
2074, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3991 4556 4554 4555 3325 3349 3992 , m3989 (f3991) f4556 m4554 f4555 (f3325) m3349 f3992 , MDHMMSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
2075, 4084, m, 4085, f, 4896, m, 4897, f, 4084 3318 4896 4897 3183 5041 3192 4085 , m4084 (m3318) m4896 f4897 m3183 (m5041) f3192 f4085 , FSWFFDD, 4084 4085, 4896 4897, G0, 1, G0, 2, 3, 4
2076, 4084, m, 4085, f, 4896, m, 4897, f, 4084 3318 4896 4897 3183 5042 3192 4085 , m4084 (m3318) m4896 f4897 m3183 (f5042) f3192 f4085 , FSWFMDD, 4084 4085, 4896 4897, G0, 1, G0, 2, 3, 4
2077, 4084, m, 4085, f, 4896, m, 4897, f, 4084 3319 4896 4897 3183 5041 3192 4085 , m4084 (f3319) m4896 f4897 m3183 (m5041) f3192 f4085 , MSWFFDD, 4084 4085, 4896 4897, G0, 1, G0, 2, 3, 4
2078, 4084, m, 4085, f, 4896, m, 4897, f, 4084 3319 4896 4897 3183 5042 3192 4085 , m4084 (f3319) m4896 f4897 m3183 (f5042) f3192 f4085 , MSWFMDD, 4084 4085, 4896 4897, G0, 1, G0, 2, 3, 4
2083, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7728 5002 4341 4340 5000 4327 , m4326 f6051 (m7728) m5002 f4341 m4340 (m5000) f4327 , MFSDHFD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
2084, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7728 5002 4341 4340 5001 4327 , m4326 f6051 (m7728) m5002 f4341 m4340 (f5001) f4327 , MFSDHMD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
2085, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7729 5002 4341 4340 5000 4327 , m4326 f6051 (f7729) m5002 f4341 m4340 (m5000) f4327 , MMSDHFD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
2086, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7729 5002 4341 4340 5001 4327 , m4326 f6051 (f7729) m5002 f4341 m4340 (f5001) f4327 , MMSDHMD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
2087, 4408, m, 4409, f, 4792, m, 4793, f, 4408 3517 4792 4793 3192 5041 3183 4409 , m4408 (m3517) m4792 f4793 f3192 (m5041) m3183 f4409 , FSWMFSD, 4408 4409, 4792 4793, G0, 1, G0, 2, 3, 4
2088, 4408, m, 4409, f, 4792, m, 4793, f, 4408 3517 4792 4793 3192 5042 3183 4409 , m4408 (m3517) m4792 f4793 f3192 (f5042) m3183 f4409 , FSWMMSD, 4408 4409, 4792 4793, G0, 1, G0, 2, 3, 4
2089, 4408, m, 4409, f, 4792, m, 4793, f, 4408 3520 4792 4793 3192 5041 3183 4409 , m4408 (f3520) m4792 f4793 f3192 (m5041) m3183 f4409 , MSWMFSD, 4408 4409, 4792 4793, G0, 1, G0, 2, 3, 4
2090, 4408, m, 4409, f, 4792, m, 4793, f, 4408 3520 4792 4793 3192 5042 3183 4409 , m4408 (f3520) m4792 f4793 f3192 (f5042) m3183 f4409 , MSWMMSD, 4408 4409, 4792 4793, G0, 1, G0, 2, 3, 4
2091, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7728 5002 4994 4993 4992 4331 4332 6772 7169 4402 4400 4545 , m4543 m4324 f6051 (m7728) m5002 f4994 f4993 m4992 f4331 m4332 (m6772) m7169 f4402 f4400 f4545 , FMFSDDHMFFSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
2092, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7728 5002 4994 4993 4992 4331 4332 6773 7169 4402 4400 4545 , m4543 m4324 f6051 (m7728) m5002 f4994 f4993 m4992 f4331 m4332 (f6773) m7169 f4402 f4400 f4545 , FMFSDDHMFMSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
2093, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7729 5002 4994 4993 4992 4331 4332 6772 7169 4402 4400 4545 , m4543 m4324 f6051 (f7729) m5002 f4994 f4993 m4992 f4331 m4332 (m6772) m7169 f4402 f4400 f4545 , FMMSDDHMFFSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
2094, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7729 5002 4994 4993 4992 4331 4332 6773 7169 4402 4400 4545 , m4543 m4324 f6051 (f7729) m5002 f4994 f4993 m4992 f4331 m4332 (f6773) m7169 f4402 f4400 f4545 , FMMSDDHMFMSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
2095, 4855, m, 4856, f, 4898, m, 4899, f, 4855 3161 4899 4898 4100 4856 , m4855 (m3161) f4899 m4898 (m4100) f4856 , FDHFD, 4855 4856, 4898 4899, G0, 1, G0, 1, 3, 2
2096, 4855, m, 4856, f, 4898, m, 4899, f, 4855 3161 4899 4898 4101 4856 , m4855 (m3161) f4899 m4898 (f4101) f4856 , FDHMD, 4855 4856, 4898 4899, G0, 1, G0, 1, 3, 2
2097, 4855, m, 4856, f, 4898, m, 4899, f, 4855 3164 4899 4898 4100 4856 , m4855 (f3164) f4899 m4898 (m4100) f4856 , MDHFD, 4855 4856, 4898 4899, G0, 1, G0, 1, 3, 2
2098, 4855, m, 4856, f, 4898, m, 4899, f, 4855 3164 4899 4898 4101 4856 , m4855 (f3164) f4899 m4898 (f4101) f4856 , MDHMD, 4855 4856, 4898 4899, G0, 1, G0, 1, 3, 2
2099, 7031, m, 4994, f, 6054, m, 6055, f, 7031 7032 4066 6054 6055 6056 8275 5003 4994 , m7031 (m7032) f4066 m6054 f6055 m6056 (m8275) f5003 f4994 , FDSWFFDD, 4994 7031, 6054 6055, G-1, 1, G0, 2, 4, 4
2100, 7031, m, 4994, f, 6054, m, 6055, f, 7031 7033 4066 6054 6055 6056 8275 5003 4994 , m7031 (f7033) f4066 m6054 f6055 m6056 (m8275) f5003 f4994 , MDSWFFDD, 4994 7031, 6054 6055, G-1, 1, G0, 2, 4, 4
2101, 7031, m, 4994, f, 6054, m, 6055, f, 7031 7032 4066 6054 6055 6056 8276 5003 4994 , m7031 (m7032) f4066 m6054 f6055 m6056 (f8276) f5003 f4994 , FDSWFMDD, 4994 7031, 6054 6055, G-1, 1, G0, 2, 4, 4
2102, 7031, m, 4994, f, 6054, m, 6055, f, 7031 7033 4066 6054 6055 6056 8276 5003 4994 , m7031 (f7033) f4066 m6054 f6055 m6056 (f8276) f5003 f4994 , MDSWFMDD, 4994 7031, 6054 6055, G-1, 1, G0, 2, 4, 4
2103, 5047, m, 6484, f, 6191, m, 6194, f, 5047 6192 6191 6194 6195 6484 , m5047 (m6192) m6191 f6194 (m6195) f6484 , FSWFD, 5047 6484, 6191 6194, G0, 1, G0, 1, 3, 2
2104, 5047, m, 6484, f, 6191, m, 6194, f, 5047 6192 6191 6194 6196 6484 , m5047 (m6192) m6191 f6194 (f6196) f6484 , FSWMD, 5047 6484, 6191 6194, G0, 1, G0, 1, 3, 2
2105, 5047, m, 6484, f, 6191, m, 6194, f, 5047 6193 6191 6194 6195 6484 , m5047 (f6193) m6191 f6194 (m6195) f6484 , MSWFD, 5047 6484, 6191 6194, G0, 1, G0, 1, 3, 2
2106, 5047, m, 6484, f, 6191, m, 6194, f, 5047 6193 6191 6194 6196 6484 , m5047 (f6193) m6191 f6194 (f6196) f6484 , MSWMD, 5047 6484, 6191 6194, G0, 1, G0, 1, 3, 2
