5, 2053, m, 2059, f, 2004, m, 2005, f, 2053 2047 2045 2005 2004 2006 2823 2824 2059 , m2053 m2047 (m2045) f2005 m2004 (m2006) m2823 m2824 f2059 , FFDHFSSD, 2053 2059, 2004 2005, G1, 1, G-2, 1, 4, 4
44, 2115, m, 2110, f, 2036, m, 2031, f, 2115 2358 2036 2031 2015 2010 2006 2004 2095 2110 , m2115 (m2358) m2036 f2031 m2015 f2010 (m2006) m2004 f2095 f2110 , FSWFMFSDD, 2110 2115, 2031 2036, G0, 1, G0, 3, 3, 6
44, 2115, m, 2110, f, 2036, m, 2031, f, 2115 2358 2036 2031 2015 2010 2006 2004 2095 2110 , m2115 (m2358) m2036 f2031 m2015 f2010 (m2006) m2004 f2095 f2110 , FSWFMFSDD, 2110 2115, 2031 2036, G0, 1, G0, 3, 3, 6
45, 2115, m, 2110, f, 2036, m, 2031, f, 2115 2351 2036 2031 2015 2010 2007 2004 2095 2110 , m2115 (f2351) m2036 f2031 m2015 f2010 (f2007) m2004 f2095 f2110 , MSWFMMSDD, 2110 2115, 2031 2036, G0, 1, G0, 3, 3, 6
45, 2115, m, 2110, f, 2036, m, 2031, f, 2115 2351 2036 2031 2015 2010 2007 2004 2095 2110 , m2115 (f2351) m2036 f2031 m2015 f2010 (f2007) m2004 f2095 f2110 , MSWFMMSDD, 2110 2115, 2031 2036, G0, 1, G0, 3, 3, 6
46, 2115, m, 2110, f, 2036, m, 2031, f, 2115 2358 2036 2031 2015 2010 2007 2004 2095 2110 , m2115 (m2358) m2036 f2031 m2015 f2010 (f2007) m2004 f2095 f2110 , FSWFMMSDD, 2110 2115, 2031 2036, G0, 1, G0, 3, 3, 6
46, 2115, m, 2110, f, 2036, m, 2031, f, 2115 2358 2036 2031 2015 2010 2007 2004 2095 2110 , m2115 (m2358) m2036 f2031 m2015 f2010 (f2007) m2004 f2095 f2110 , FSWFMMSDD, 2110 2115, 2031 2036, G0, 1, G0, 3, 3, 6
77, 4918, m, 2520, f, 2036, m, 2031, f, 4918 4711 6515 2842 2012 2015 2031 2036 2358 2511 2512 2520 , m4918 f4711 f6515 (m2842) m2012 m2015 f2031 m2036 m2358 (m2511) m2512 f2520 , MMFSSDHFFSD, 2520 4918, 2031 2036, G0, 3, G0, 2, 7, 4
77, 4918, m, 2520, f, 2036, m, 2031, f, 4918 4711 6515 2842 2012 2015 2031 2036 2358 2511 2512 2520 , m4918 f4711 f6515 (m2842) m2012 m2015 f2031 m2036 m2358 (m2511) m2512 f2520 , MMFSSDHFFSD, 2520 4918, 2031 2036, G0, 3, G0, 2, 7, 4
78, 4918, m, 2520, f, 2036, m, 2031, f, 4918 4711 6515 2843 2012 2015 2031 2036 2358 2511 2512 2520 , m4918 f4711 f6515 (f2843) m2012 m2015 f2031 m2036 m2358 (m2511) m2512 f2520 , MMMSSDHFFSD, 2520 4918, 2031 2036, G0, 3, G0, 2, 7, 4
78, 4918, m, 2520, f, 2036, m, 2031, f, 4918 4711 6515 2843 2012 2015 2031 2036 2358 2511 2512 2520 , m4918 f4711 f6515 (f2843) m2012 m2015 f2031 m2036 m2358 (m2511) m2512 f2520 , MMMSSDHFFSD, 2520 4918, 2031 2036, G0, 3, G0, 2, 7, 4
181, 2063, m, 2070, f, 2053, m, 2059, f, 2063 2050 2047 2053 2059 2824 2823 2006 2004 2095 2107 2070 , m2063 m2050 (m2047) m2053 f2059 m2824 m2823 (m2006) m2004 f2095 f2107 f2070 , FFSWFFFSDDD, 2063 2070, 2053 2059, G1, 1, G-1, 3, 4, 7
181, 2063, m, 2070, f, 2053, m, 2059, f, 2063 2050 2047 2053 2059 2824 2823 2006 2004 2095 2107 2070 , m2063 m2050 (m2047) m2053 f2059 m2824 m2823 (m2006) m2004 f2095 f2107 f2070 , FFSWFFFSDDD, 2063 2070, 2053 2059, G1, 1, G-1, 3, 4, 7
182, 2063, m, 2070, f, 2053, m, 2059, f, 2063 2050 2049 2053 2059 2824 2823 2006 2004 2095 2107 2070 , m2063 m2050 (f2049) m2053 f2059 m2824 m2823 (m2006) m2004 f2095 f2107 f2070 , FMSWFFFSDDD, 2063 2070, 2053 2059, G1, 1, G-1, 3, 4, 7
182, 2063, m, 2070, f, 2053, m, 2059, f, 2063 2050 2049 2053 2059 2824 2823 2006 2004 2095 2107 2070 , m2063 m2050 (f2049) m2053 f2059 m2824 m2823 (m2006) m2004 f2095 f2107 f2070 , FMSWFFFSDDD, 2063 2070, 2053 2059, G1, 1, G-1, 3, 4, 7
183, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 2006 2823 2824 2059 2053 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2824 f2059 m2053 (m2047) f2052 f2076 , MFFSSDHFDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
183, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 2006 2823 2824 2059 2053 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2824 f2059 m2053 (m2047) f2052 f2076 , MFFSSDHFDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
184, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 6657 2823 2824 2059 2053 2047 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2824 f2059 m2053 (m2047) f2052 f2076 , MFMSSDHFDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
184, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 6657 2823 2824 2059 2053 2047 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2824 f2059 m2053 (m2047) f2052 f2076 , MFMSSDHFDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
185, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 2006 2823 2824 2059 2053 2049 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2824 f2059 m2053 (f2049) f2052 f2076 , MFFSSDHMDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
185, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 2006 2823 2824 2059 2053 2049 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2824 f2059 m2053 (f2049) f2052 f2076 , MFFSSDHMDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
186, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 6657 2823 2824 2059 2053 2049 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2824 f2059 m2053 (f2049) f2052 f2076 , MFMSSDHMDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
186, 2559, m, 2076, f, 2053, m, 2059, f, 2559 2557 2008 6657 2823 2824 2059 2053 2049 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2824 f2059 m2053 (f2049) f2052 f2076 , MFMSSDHMDD, 2076 2559, 2053 2059, G0, 3, G-1, 1, 7, 3
189, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2045 2163 2822 2823 2824 2059 , m2053 m2047 (m2045) f2163 m2822 (m2823) m2824 f2059 , FFDHFSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
189, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2045 2163 2822 2823 2824 2059 , m2053 m2047 (m2045) f2163 m2822 (m2823) m2824 f2059 , FFDHFSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
190, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2045 2163 2822 3657 2824 2059 , m2053 m2047 (m2045) f2163 m2822 (f3657) m2824 f2059 , FFDHMSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
190, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2045 2163 2822 3657 2824 2059 , m2053 m2047 (m2045) f2163 m2822 (f3657) m2824 f2059 , FFDHMSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
191, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2046 2163 2822 2823 2824 2059 , m2053 m2047 (f2046) f2163 m2822 (m2823) m2824 f2059 , FMDHFSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
191, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2046 2163 2822 2823 2824 2059 , m2053 m2047 (f2046) f2163 m2822 (m2823) m2824 f2059 , FMDHFSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
192, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2046 2163 2822 3657 2824 2059 , m2053 m2047 (f2046) f2163 m2822 (f3657) m2824 f2059 , FMDHMSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
192, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2046 2163 2822 3657 2824 2059 , m2053 m2047 (f2046) f2163 m2822 (f3657) m2824 f2059 , FMDHMSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
201, 2559, m, 2076, f, 2063, m, 2070, f, 2559 2557 2008 2006 2004 2095 2107 2070 2063 2050 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2004 f2095 f2107 f2070 m2063 m2050 (m2047) f2052 f2076 , MFFSDDDHFFDD, 2076 2559, 2063 2070, G-1, 3, G0, 2, 8, 4
202, 2559, m, 2076, f, 2063, m, 2070, f, 2559 2557 2008 2006 2004 2095 2107 2070 2063 2050 2049 2052 2076 , m2559 f2557 m2008 (m2006) m2004 f2095 f2107 f2070 m2063 m2050 (f2049) f2052 f2076 , MFFSDDDHFMDD, 2076 2559, 2063 2070, G-1, 3, G0, 2, 8, 4
207, 2063, m, 2070, f, 2101, m, 2095, f, 2063 2050 2047 2045 2005 2095 2101 2107 2070 , m2063 m2050 m2047 (m2045) f2005 f2095 (m2101) f2107 f2070 , FFFDDHDD, 2063 2070, 2095 2101, G1, 2, G-2, 0, 6, 2
207, 2063, m, 2070, f, 2101, m, 2095, f, 2063 2050 2047 2045 2005 2095 2101 2107 2070 , m2063 m2050 m2047 (m2045) f2005 f2095 (m2101) f2107 f2070 , FFFDDHDD, 2063 2070, 2095 2101, G1, 2, G-2, 0, 6, 2
208, 2063, m, 2070, f, 2101, m, 2095, f, 2063 2050 2047 2046 2005 2095 2101 2107 2070 , m2063 m2050 m2047 (f2046) f2005 f2095 (m2101) f2107 f2070 , FFMDDHDD, 2063 2070, 2095 2101, G1, 2, G-2, 0, 6, 2
208, 2063, m, 2070, f, 2101, m, 2095, f, 2063 2050 2047 2046 2005 2095 2101 2107 2070 , m2063 m2050 m2047 (f2046) f2005 f2095 (m2101) f2107 f2070 , FFMDDHDD, 2063 2070, 2095 2101, G1, 2, G-2, 0, 6, 2
213, 2063, m, 2070, f, 2822, m, 2163, f, 2063 2050 2047 2045 2163 2822 2823 2006 2004 2095 2107 2070 , m2063 m2050 m2047 (m2045) f2163 m2822 m2823 (m2006) m2004 f2095 f2107 f2070 , FFFDHFFSDDD, 2063 2070, 2163 2822, G2, 1, G-2, 2, 5, 6
213, 2063, m, 2070, f, 2822, m, 2163, f, 2063 2050 2047 2045 2163 2822 2823 2006 2004 2095 2107 2070 , m2063 m2050 m2047 (m2045) f2163 m2822 m2823 (m2006) m2004 f2095 f2107 f2070 , FFFDHFFSDDD, 2063 2070, 2163 2822, G2, 1, G-2, 2, 5, 6
214, 2063, m, 2070, f, 2822, m, 2163, f, 2063 2050 2047 2046 2163 2822 2823 2006 2004 2095 2107 2070 , m2063 m2050 m2047 (f2046) f2163 m2822 m2823 (m2006) m2004 f2095 f2107 f2070 , FFMDHFFSDDD, 2063 2070, 2163 2822, G2, 1, G-2, 2, 5, 6
214, 2063, m, 2070, f, 2822, m, 2163, f, 2063 2050 2047 2046 2163 2822 2823 2006 2004 2095 2107 2070 , m2063 m2050 m2047 (f2046) f2163 m2822 m2823 (m2006) m2004 f2095 f2107 f2070 , FFMDHFFSDDD, 2063 2070, 2163 2822, G2, 1, G-2, 2, 5, 6
217, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 2006 2823 2822 2163 2045 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2822 f2163 (m2045) m2047 f2052 f2076 , MFFSSWFSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
217, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 2006 2823 2822 2163 2045 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2822 f2163 (m2045) m2047 f2052 f2076 , MFFSSWFSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
218, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 6657 2823 2822 2163 2045 2047 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2822 f2163 (m2045) m2047 f2052 f2076 , MFMSSWFSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
218, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 6657 2823 2822 2163 2045 2047 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2822 f2163 (m2045) m2047 f2052 f2076 , MFMSSWFSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
219, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 2006 2823 2822 2163 2046 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2822 f2163 (f2046) m2047 f2052 f2076 , MFFSSWMSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
219, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 2006 2823 2822 2163 2046 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2823 m2822 f2163 (f2046) m2047 f2052 f2076 , MFFSSWMSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
220, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 6657 2823 2822 2163 2046 2047 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2822 f2163 (f2046) m2047 f2052 f2076 , MFMSSWMSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
220, 2559, m, 2076, f, 2822, m, 2163, f, 2559 2557 2008 6657 2823 2822 2163 2046 2047 2052 2076 , m2559 f2557 m2008 (f6657) m2823 m2822 f2163 (f2046) m2047 f2052 f2076 , MFMSSWMSDD, 2076 2559, 2163 2822, G1, 2, G-2, 1, 6, 4
259, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2194 2193 2171 2173 2962 6987 6220 2498 2497 , m2207 (m2194) f2193 m2171 f2173 f2962 (m6987) m6220 m2498 f2497 , FDHMMFSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
260, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2195 2193 2171 2173 2962 6987 6220 2498 2497 , m2207 (f2195) f2193 m2171 f2173 f2962 (m6987) m6220 m2498 f2497 , MDHMMFSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
261, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2194 2193 2171 2173 2962 6988 6220 2498 2497 , m2207 (m2194) f2193 m2171 f2173 f2962 (f6988) m6220 m2498 f2497 , FDHMMMSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
262, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2195 2193 2171 2173 2962 6988 6220 2498 2497 , m2207 (f2195) f2193 m2171 f2173 f2962 (f6988) m6220 m2498 f2497 , MDHMMMSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
283, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6985 7135 7136 2727 2475 2202 2195 2193 , m2171 f2173 m2174 (m6985) m7135 f7136 f2727 (m2475) m2202 f2195 f2193 , MFFSWMFSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
283, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6985 7135 7136 2727 2475 2202 2195 2193 , m2171 f2173 m2174 (m6985) m7135 f7136 f2727 (m2475) m2202 f2195 f2193 , MFFSWMFSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
284, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6985 7135 7136 2727 2476 2202 2195 2193 , m2171 f2173 m2174 (m6985) m7135 f7136 f2727 (f2476) m2202 f2195 f2193 , MFFSWMMSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
284, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6985 7135 7136 2727 2476 2202 2195 2193 , m2171 f2173 m2174 (m6985) m7135 f7136 f2727 (f2476) m2202 f2195 f2193 , MFFSWMMSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
285, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6986 7135 7136 2727 2475 2202 2195 2193 , m2171 f2173 m2174 (f6986) m7135 f7136 f2727 (m2475) m2202 f2195 f2193 , MFMSWMFSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
285, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6986 7135 7136 2727 2475 2202 2195 2193 , m2171 f2173 m2174 (f6986) m7135 f7136 f2727 (m2475) m2202 f2195 f2193 , MFMSWMFSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
286, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6986 7135 7136 2727 2476 2202 2195 2193 , m2171 f2173 m2174 (f6986) m7135 f7136 f2727 (f2476) m2202 f2195 f2193 , MFMSWMMSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
286, 2171, m, 2193, f, 7135, m, 7136, f, 2171 2173 2174 6986 7135 7136 2727 2476 2202 2195 2193 , m2171 f2173 m2174 (f6986) m7135 f7136 f2727 (f2476) m2202 f2195 f2193 , MFMSWMMSDD, 2171 2193, 7135 7136, G2, 1, G-1, 2, 5, 5
331, 3038, m, 2179, f, 2264, m, 2265, f, 3038 2739 2264 2265 6985 2174 2175 2179 , m3038 f2739 (m2264) f2265 (m6985) m2174 m2175 f2179 , MFWFSSD, 2179 3038, 2264 2265, G2, 0, G-2, 1, 3, 4
331, 3038, m, 2179, f, 2264, m, 2265, f, 3038 2739 2264 2265 6985 2174 2175 2179 , m3038 f2739 (m2264) f2265 (m6985) m2174 m2175 f2179 , MFWFSSD, 2179 3038, 2264 2265, G2, 0, G-2, 1, 3, 4
332, 3038, m, 2179, f, 2264, m, 2265, f, 3038 2739 2264 2265 6986 2174 2175 2179 , m3038 f2739 (m2264) f2265 (f6986) m2174 m2175 f2179 , MFWMSSD, 2179 3038, 2264 2265, G2, 0, G-2, 1, 3, 4
332, 3038, m, 2179, f, 2264, m, 2265, f, 3038 2739 2264 2265 6986 2174 2175 2179 , m3038 f2739 (m2264) f2265 (f6986) m2174 m2175 f2179 , MFWMSSD, 2179 3038, 2264 2265, G2, 0, G-2, 1, 3, 4
355, 2188, m, 2184, f, 2187, m, 3351, f, 2188 3351 2187 2265 6985 2174 2173 2184 , m2188 (f3351) m2187 f2265 (m6985) m2174 f2173 f2184 , MHMFSDD, 2184 2188, 2187 3351, G1, 0, G-1, 2, 2, 5
355, 2188, m, 2184, f, 2187, m, 3351, f, 2188 3351 2187 2265 6985 2174 2173 2184 , m2188 (f3351) m2187 f2265 (m6985) m2174 f2173 f2184 , MHMFSDD, 2184 2188, 2187 3351, G1, 0, G-1, 2, 2, 5
356, 2188, m, 2184, f, 2187, m, 3351, f, 2188 3351 2187 2265 6986 2174 2173 2184 , m2188 (f3351) m2187 f2265 (f6986) m2174 f2173 f2184 , MHMMSDD, 2184 2188, 2187 3351, G1, 0, G-1, 2, 2, 5
356, 2188, m, 2184, f, 2187, m, 3351, f, 2188 3351 2187 2265 6986 2174 2173 2184 , m2188 (f3351) m2187 f2265 (f6986) m2174 f2173 f2184 , MHMMSDD, 2184 2188, 2187 3351, G1, 0, G-1, 2, 2, 5
519, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2475 2202 2195 2207 2497 2499 2604 2482 , m2478 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 (m2604) f2482 , FFSDSWMFD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
520, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2475 2202 2195 2207 2497 2499 2605 2482 , m2478 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 (f2605) f2482 , FFSDSWMMD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
521, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2476 2202 2195 2207 2497 2499 2604 2482 , m2478 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 (m2604) f2482 , FMSDSWMFD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
522, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2476 2202 2195 2207 2497 2499 2605 2482 , m2478 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 (f2605) f2482 , FMSDSWMMD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
523, 2485, m, 2614, f, 2207, m, 2497, f, 2485 2198 2196 2194 2207 2497 2499 2605 2607 2526 2529 2614 , m2485 m2198 (m2196) m2194 m2207 f2497 f2499 f2605 (m2607) f2526 m2529 f2614 , FFSSWMMFDSD, 2485 2614, 2207 2497, G0, 2, G0, 3, 5, 6
